text,label,suspected_label,matched_keywords,label_keyword_score,suspected_keyword_score,risk_reason
就是这张，我截完图之后旁边那些字加上我闺女那个表情。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑好久！,愤怒,喜悦,哈哈,0,54,possible_label_mismatch
2006年的冠军和亚军都回家了！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,厌恶,喜悦,哈哈,0,51,possible_label_mismatch
我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心我不开心,厌恶,喜悦,开心,0,33,possible_label_mismatch
说明你魅力依旧嘛爱心大姐年年有今年特别多！为了半天假勇敢地去！还有老老师不知道我都有娃了，还要给我介绍呢呵呵每秒的爱情都是一霎那间产生的哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈、我要笑死了、老板全力支持俺晚上去跟办公室大姐介绍的男人见面、且说、下午给你放半天假去捯饬一下、晚上好好表现、我天、至于么、至于么、我是有多差啊、让这几位姐姐急成这样、,愤怒,喜悦,哈哈 | 笑死,0,25,possible_label_mismatch
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈那家伙嗑药了【可爱猫猫】拍照的时候不要晃头啊！,低落,喜悦,哈哈,0,25,possible_label_mismatch
哈哈。趁人之危。。太坏了。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈分享图片这么搞笑的图，发两次都没发上来。。。,厌恶,喜悦,哈哈,0,22,possible_label_mismatch
白羊来找我，我去找水瓶！如果白羊找到水瓶，那就是开心更开心！哈哈，其实就是个怪圈，谁找谁都快乐，哈哈哇，那谁谁谁，别纠结了，姐原来是哥的开心果。你幸福了，哈哈~~哇，原来我是双子座的开心果12星座，寻找你的开心果------白羊的开心果是双鱼；金牛的开心果是魔羯；双子的开心果是天秤；巨蟹的开心果是处女；狮子的开心果是巨蟹；处女的开心果是射手；天秤的开心果是白羊；天蝎的开心果是天蝎；射手的开心果是金牛；魔羯的开心果是双子；水瓶的开心果是狮子；双鱼的开心果是水瓶。,厌恶,喜悦,开心 | 快乐 | 幸福 | 哈哈,0,22,possible_label_mismatch
大家都是外貌协会的~~哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈男人看女人的反应,愤怒,喜悦,哈哈,0,20,possible_label_mismatch
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！:啊哈哈哈哈哈哈哈啊哈哈哈哈！【多拉A梦大结局】多拉A梦临别时送大雄的礼物~!!!,厌恶,喜悦,哈哈,0,18,possible_label_mismatch
不是哥哥先把哥哥拐走的么！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈XDDD腹黑眼睛攻酥死了！哎呦喂！这个太给力了！哈哈哈哈~SA版《还个哥哥给你》点击原图观看顺序→先【左边整列】后【右边整一列】不好意思重新发个，前面那张多打了个字……,愤怒,喜悦,哈哈,0,18,possible_label_mismatch
太神马了我可以说我也是么？哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！我也瞬间就知道答案了。。。。。插菊花TAT第一个人要一个瓶子（我瞬间就知道答案了求答案……………………,厌恶,喜悦,哈哈,0,16,possible_label_mismatch
啊？原来我是他的开心果为啥他不是我的开心过呢::12星座的开心果~~【星座】------12星座的开心果：白羊的开心果是双鱼；金牛的开心果是魔羯；双子的开心果是天秤；巨蟹的开心果是处女；狮子的开心果是巨蟹；处女的开心果是射手；天秤的开心果是白羊；天蝎的开心果是天蝎；射手的开心果是金牛；魔羯的开心果是双子；水瓶的开心果是狮子；双鱼的开心果是水瓶。,愤怒,喜悦,开心,0,16,possible_label_mismatch
==哈哈哈哈哈哈哈哈哈哈哈哈哈哈噗哈哈哈啊~~哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈Pu有个大叔加了我问我是不是处女我说我不是他就批评我不断地批评我说我们90后是不可救药的一代说我们是脑残是非主流是杀马特还说整个群里就我还可以，虽然不是处女，但是还没有误入歧途太深他要拯救我我操！老子是一男的，不是处女又怎么了！！,低落,喜悦,哈哈,0,16,possible_label_mismatch
哈哈哈哈哈这个好哈哈哈哈哈哈哈哈。。镇博之宝存起来。以后大左还是要吻的话就放这张出来行了~~~哈哈哈哈哈哈哈哈哈哈。。。不说我还没注意！！这么经典的造型好好保存起来啊。。。。。。。这位错得。。。【注意最左边】这张太囧了哈哈~谢楠的身子大左的头~好像变装啊~哈哈哈哈哈哈哈哈哈~不行了我~这张拍的太有了！！！！,厌恶,喜悦,哈哈,0,16,possible_label_mismatch
狂笑！哈哈哈哈~對不起，我忍不住笑了！你们太坏了其实还是很可爱啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈怪兽哥跟那个烂石头粗去喝酒不要我了。。╭(╯^╰)╮我就是要把牙缝露出来给你们看！怪兽哥都不要我了，还在乎这些干神马干神马！？,厌恶,喜悦,哈哈,0,15,possible_label_mismatch
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我想嘲笑她厉害哈哈哈。。看过来！这个世界没有什么你怕的。四年前你自己寫下的害怕的種種，四年後都一一實現了。。。,低落,喜悦,哈哈,0,15,possible_label_mismatch
对，你老公一直拿你开心来着。。。别想多了哈。。。原来，我是老公的开心果。【谁是12星座的开心果】白羊的开心果是双鱼；金牛的开心果是魔羯；双子的开心果是天秤；巨蟹的开心果是处女；狮子的开心果是巨蟹；处女的开心果是射手；天秤的开心果是白羊；天蝎的开心果是天蝎；射手的开心果是金牛；魔羯的开心果是双子；水瓶的开心果是狮子；双鱼的开心果是水瓶。,厌恶,喜悦,开心,0,15,possible_label_mismatch
这样啊~狗P的。原来是双子啊~快都出来吧~~好吧……我身边双鱼好少……水瓶的开心果是狮子我下次去找找身边谁是处女的==我两个好朋友都是射手~【谁是12星座的开心果】白羊的开心果是双鱼；金牛的开心果是魔羯；双子的开心果是天秤；巨蟹的开心果是处女；狮子的开心果是巨蟹；处女的开心果是射手；天秤的开心果是白羊；天蝎的开心果是天蝎；射手的开心果是金牛；魔羯的开心果是双子；水瓶的开心果是狮子；双鱼的开心果是水瓶。,愤怒,喜悦,开心,0,14,possible_label_mismatch
我身边一个金牛的都木有。。。。什么时候遇到你人生的开心果呢？【12星座的开心果你找到了吗】白羊的开心果是双鱼；金牛的开心果是魔羯；双子的开心果是天秤；巨蟹的开心果是处女；狮子的开心果是巨蟹；处女的开心果是射手；天秤的开心果是白羊；天蝎的开心果是天蝎；射手的开心果是金牛；魔羯的开心果是双子；水瓶的开心果是狮子；双鱼的开心果是水瓶。,厌恶,喜悦,开心,0,14,possible_label_mismatch
伐开心伐开心伐开心伐开心伐开心伐开心伐开心伐开心伐开心伐开心伐开心伐开心伐开心伐开心！！！！！！！,愤怒,喜悦,开心,0,14,possible_label_mismatch
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈啊哈~~不开心想一下水草~~~你们两个笑完了咩。我不开心。,厌恶,喜悦,开心 | 哈哈,0,14,possible_label_mismatch
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈绝对销魂的灌篮高手版《还珠格格》,愤怒,喜悦,哈哈,0,14,possible_label_mismatch
大楠已经同意我们的计划了！前提是，她第一个扑。。。。。厄你们懂的神马？金牛喜欢同性？双鱼喜欢单身？OMG！你们懂得····【十二星座秘密大曝光】白羊座--喜欢裸睡；金牛座--喜欢同性；双子座--喜欢自恋；巨蟹座--喜欢穿性感内裤；狮子座--喜欢装可爱；处女座--喜欢鸳鸯浴；天秤座--喜欢坏男人；天蝎座--喜欢YY；射手座--喜欢性虐待；摩羯座--喜欢看A片或G片；水瓶座--喜欢双性恋；双鱼座--喜欢单身,厌恶,喜悦,喜欢,0,14,possible_label_mismatch
到上海别和我睡一张床！！！那你离我远点我也不想给你幸福哈哈哈哈啊完全没有，好杯具的~~跟我在一起的人都好幸福哈哈你不幸福么别说违心的话噢哈哈哈哈你给谁幸福了，就伟大了！！！“什么是幸福？没有痛苦就是幸福。什么是快乐？内心愉悦就是快乐。什么是成功？不懈追求就是成功。什么是前进？没有止步就是前进。什么是真诚？实事求是就是真诚。什么是朋友？危难相助就是朋友。什么是伟大？能给人幸福就是伟大。”,低落,喜悦,快乐 | 幸福 | 哈哈,1,14,possible_label_mismatch
