text,label,label_name
这次会议上一直被打断，他当场就不想再忍，需要先冷静一下,1,愤怒
确认系统日志生成了新的条目以后，按原安排处理，后续再按通知处理,3,中性
聊到别人把责任推到自己身上，他感觉耐心被磨光了，只想立刻结束这场沟通,1,愤怒
关于表格已经整理到最新版本，这条消息已经转发给相关同学，后面继续正常推进,3,中性
因为排了很久队却被告知关门，朋友完全没法心平气和，这件事必须尽快处理,1,愤怒
今天看到今天气温比昨天低两度，表格里已经更新这一项，需要时再确认一次,3,中性
下午被老师当众表扬，朋友觉得努力终于有了回报，晚上做题都更有劲了,0,开心
今天想到明明预约了却查不到记录，妹妹觉得对方一点也不负责，只想把原因问清楚,1,愤怒
放学后朋友专门来接自己，妈妈觉得这个下午很值得，感觉被生活轻轻推了一把,0,开心
这次别人把责任推到自己身上，大家眉头立刻皱了起来，这件事必须尽快处理,1,愤怒
放学后想到周末终于能出去玩，他嘴角一直压不住，连等待都不觉得烦了,0,开心
早上想到设备关键时刻突然卡住，她说话语气都变重了，只想立刻结束这场沟通,1,愤怒
聊到拖了很久的作业终于完成了，我想马上把消息分享出去，回家的路都变得轻快,0,开心
下班前重要电话一直打不通，同事觉得被耽误得很厉害，连后面的安排都受影响,1,愤怒
确认车票信息已经发送到手机以后，操作完成后页面停在确认页，当前状态保持不变,3,中性
聊到辛苦准备的材料被随手丢开，我只想马上问清楚，心里一直过不去,1,愤怒
今天想到演讲顺利结束，朋友心里暖暖的，觉得这一天没有白过,0,开心
因为上课时旁边一直吵闹，老师越想越觉得憋屈，需要先冷静一下,1,愤怒
记录里显示天气预报显示明天多云，把信息记录下来，相关内容已经记录,3,中性
这次明明提醒过还是出了同样的问题，他说话语气都变重了，这件事必须尽快处理,1,愤怒
确认餐厅排队人数显示为十六以后，后面按通知继续跟进，没有明显情绪变化,3,中性
因为预约成功后又被取消，大家觉得对方一点也不负责，需要先冷静一下,1,愤怒
因为和老朋友聊到很晚，我开心得反复确认了好几遍，心里一直暖着,0,开心
周末想到手机里翻到以前的聊天记录，她只想早点休息，只想安静地待一会儿,2,伤心
因为同一件事被反复催促，同事心里那股火压不下去，很难再相信对方的解释,1,愤怒
这次演讲顺利结束，妈妈开心得反复确认了好几遍，忍不住又看了一遍结果,0,开心
下午快递迟迟不更新还无法联系，大家真的很难保持冷静，这种体验让人很难接受,1,愤怒
关于打印机显示缺纸，之后再按时间检查，需要的时候再打开查看,3,中性
聊到打印到一半突然没纸还没人补，妹妹越处理越烦躁，不想让这种情况再发生,1,愤怒
这次努力攒的钱又花在意外开销上，同事整个人没什么力气，连平时喜欢的事都没兴趣,2,伤心
回家路上看到图书馆八点开门，页面内容已经确认，只是普通的信息更新,3,中性
放学后想到新的学习计划开了好头，我心里一下子亮了起来，晚上做题都更有劲了,0,开心
今天看到打印机显示缺纸，文件名改成统一格式，这一步已经完成,3,中性
聊到收到了老师写的鼓励评语，老师觉得被认真看见了，这件小事让人记了很久,0,开心
因为约好的时间被临时放鸽子，妹妹觉得这事太离谱，越拖越让人不满,1,愤怒
晚上听到熟悉的歌突然想起以前，同学心里慢慢沉了下去，只想安静地待一会儿,2,伤心
聊到计划说改就改，大家越解释越觉得累，后来想起来还是不舒服,1,愤怒
早上看到下午三点有一场线上会议，后面按通知继续跟进，整体情况比较平稳,3,中性
下班前约好的时间被临时放鸽子，妈妈当场就不想再忍，很难再相信对方的解释,1,愤怒
确认书架第二层放着参考资料以后，操作完成后页面停在确认页，资料放在固定位置,3,中性
因为和老朋友聊到很晚，他一下子有了精神，连等待都不觉得烦了,0,开心
放学后表格已经整理到最新版本，信息只是做了状态更新，整体情况比较平稳,3,中性
因为排了很久队却被告知关门，妈妈气得不想再解释，很难再相信对方的解释,1,愤怒
聊到病好后发现错过很多事情，我把手机放到一边不想看，只想让这一天快点过去,2,伤心
刚才银行卡账单已经生成，记录按顺序排好了，不影响当前计划,3,中性
聊到离别时没来得及好好道别，他眼眶有些发热，连平时喜欢的事都没兴趣,2,伤心
确认门口公告更新了开放时间以后，记录按顺序排好了，后面继续正常推进,3,中性
这次比赛结束后没有人留下来，同事走路都变慢了，过了很久才慢慢缓过来,2,伤心
今天看到门口公告更新了开放时间，确认后关闭了页面，相关内容已经记录,3,中性
聊到等了很久的人没有回复，妹妹手里的事情也做不下去，睡前还在反复想,2,伤心
处理到明天课程按原计划进行这一项时，确认后关闭了页面，不影响当前计划,3,中性
早上想到有人说话阴阳怪气，妹妹手里的事情都被影响了，这件事必须尽快处理,1,愤怒
这次仓库库存还剩十二件，这件事照流程推进，需要时再确认一次,3,中性
聊到被无故指责态度不好，妈妈越想越觉得憋屈，需要先冷静一下,1,愤怒
确认门禁记录显示上午九点进入以后，相关内容已经同步，整体情况比较平稳,3,中性
这次想见的人临时来不了，妈妈心里酸酸的，睡前还在反复想,2,伤心
这次想到房间被收拾得很舒服，同事一路上都想哼歌，连晚饭都吃得更香,0,开心
晚上看到今天食堂窗口照常开放，把它记到日程里，相关内容已经记录,3,中性
这次被无故指责态度不好，朋友整个人都烦了起来，不想让这种情况再发生,1,愤怒
这次水杯放在书桌右侧，先按照原计划执行，只是普通的信息更新,3,中性
因为明明提醒过还是出了同样的问题，老师觉得对方一点也不负责，连后面的安排都受影响,1,愤怒
这次书架第二层放着参考资料，相关内容已经同步，整体情况比较平稳,3,中性
放学后想到新的学习计划开了好头，妹妹说话都带着笑意，这件小事让人记了很久,0,开心
聊到买到的东西和描述完全不符，老师当场就不想再忍，一整天的心情都被打乱,1,愤怒
记录里显示扫码后页面跳转到确认页，现场人员照常排队，需要的时候再打开查看,3,中性
这次手机充了一晚还是没电，妹妹手里的事情都被影响了，一整天的心情都被打乱,1,愤怒
下班前想到写好的道歉没有勇气发出，妹妹心里慢慢沉了下去，晚上也不太想出门,2,伤心
这次会议上一直被打断，他越想越觉得憋屈，很难再相信对方的解释,1,愤怒
下班前网页加载完成后出现表格，编号已经填入对应位置，整体情况比较平稳,3,中性
因为看见以前的旧照片，她脑子里反复想着这件事，很难马上打起精神,2,伤心
放学后第一次尝试就成功了，朋友觉得这个下午很值得，对明天也多了一点期待,0,开心
确认门口公告更新了开放时间以后，文件名改成统一格式，没有明显情绪变化,3,中性
刚才想到客服反复推脱责任，他心里特别窝火，这种体验让人很难接受,1,愤怒
记录里显示图书馆八点开门，这件事照流程推进，后续再按通知处理,3,中性
聊到打开窗户闻到了清新的空气，大家心里暖暖的，连等待都不觉得烦了,0,开心
这次天气预报显示明天多云，文件名改成统一格式，这一步已经完成,3,中性
这次手机里翻到以前的聊天记录，朋友情绪低了好一会儿，很难马上打起精神,2,伤心
处理到白板上写着下一次讨论时间这一项时，按原安排处理，相关内容已经记录,3,中性
因为写好的道歉没有勇气发出，老师心里慢慢沉了下去，觉得需要一点时间消化,2,伤心
这次订单状态变为已发货，这件事照流程推进，需要的时候再打开查看,3,中性
这次考试前一晚突然很没底，她手里的事情也做不下去，只想早点把灯关掉,2,伤心
因为攒钱买到了想要的东西，她整个人放松下来，这件小事让人记了很久,0,开心
