text,label,text_length,risk_reason
馋人个头超大,低落,6,weak_label_evidence
我不会姊也會！,愤怒,7,weak_label_evidence
多顺眼的粉量,喜悦,6,weak_label_evidence
依晨上话题榜第一,低落,8,weak_label_evidence
逼我发绝招啦！,愤怒,7,weak_label_evidence
终于回来了！,喜悦,6,weak_label_evidence
倒數第三天蝎座。,喜悦,8,weak_label_evidence
！！！！！！萌,愤怒,7,weak_label_evidence
。春夏秋冬,愤怒,5,weak_label_evidence
最有魅力代表,愤怒,6,weak_label_evidence
求晴天娃娃。。,厌恶,7,weak_label_evidence
我又失败了,愤怒,5,weak_label_evidence
鸡蛋+牛奶~~,喜悦,7,weak_label_evidence
我勒个去的,愤怒,5,weak_label_evidence
害得我晚饭都没吃,愤怒,8,weak_label_evidence
。八宝山见吧,厌恶,6,weak_label_evidence
下午要录周刊,愤怒,6,weak_label_evidence
地狱夜场···,愤怒,7,weak_label_evidence
贡献一点力量,厌恶,6,weak_label_evidence
洗洗睡了!!!,愤怒,7,weak_label_evidence
吃章鱼。。。,愤怒,6,weak_label_evidence
十大经典厕所对联,喜悦,8,weak_label_evidence
支持！坚决支持！,愤怒,8,weak_label_evidence
晚上跟哥耍大牌!,喜悦,8,weak_label_evidence
愁死啦。。。。,愤怒,7,weak_label_evidence
早就不一样了,低落,6,weak_label_evidence
吐死人妖。,厌恶,5,weak_label_evidence
帅分享图片..,喜悦,7,weak_label_evidence
北京话很好听,愤怒,6,weak_label_evidence
想在叩胰朔磳?,喜悦,8,weak_label_evidence
我的主人是白痴,低落,7,weak_label_evidence
这张还真帅啊,喜悦,6,weak_label_evidence
大家看看这图片,愤怒,7,weak_label_evidence
长方圆你是我偶像,喜悦,8,weak_label_evidence
都是大人们教的，,喜悦,8,weak_label_evidence
可以钻杆过去了,喜悦,7,weak_label_evidence
擦，ID被封,愤怒,6,weak_label_evidence
赖班族和拖延症,愤怒,7,weak_label_evidence
地震！！！！,厌恶,6,weak_label_evidence
智齿冠周炎，折磨,愤怒,8,weak_label_evidence
靠得住第二位~,低落,7,weak_label_evidence
站的不老实,喜悦,5,weak_label_evidence
神奇的视觉大汇总,愤怒,8,weak_label_evidence
我不想想你~~,厌恶,7,weak_label_evidence
丫的也不怕热,低落,6,weak_label_evidence
合一張香肩系列,喜悦,7,weak_label_evidence
好图你想到了啥？,喜悦,8,weak_label_evidence
对说：他好勇呀,低落,7,weak_label_evidence
真的太美好了,厌恶,6,weak_label_evidence
@草根屁民,低落,5,weak_label_evidence
他是个很棒的人。,喜悦,8,weak_label_evidence
。來個抱抱吧,喜悦,6,weak_label_evidence
"咳,刚经过你家!",喜悦,8,weak_label_evidence
发烧了，全身无力,厌恶,8,weak_label_evidence
低调的奢华~~~,愤怒,8,weak_label_evidence
噼里啪啦写文中,厌恶,7,weak_label_evidence
回复到处都是湿啊,喜悦,8,weak_label_evidence
今天没有收获,愤怒,6,weak_label_evidence
唉，嘉哥恋爱了。,厌恶,8,weak_label_evidence
可爱老夫老妻,喜悦,6,weak_label_evidence
恶恨城管!。,愤怒,6,weak_label_evidence
中西文化对比图,喜悦,7,weak_label_evidence
小白牙很健康,喜悦,6,weak_label_evidence
英格兰加油！,喜悦,6,weak_label_evidence
北京打雷了，,喜悦,6,weak_label_evidence
越来越好看了,喜悦,6,weak_label_evidence
好想快点下班！,愤怒,7,weak_label_evidence
美味继续……手串,喜悦,8,weak_label_evidence
迷茫的徐亮,厌恶,5,weak_label_evidence
失败天秤座,厌恶,5,weak_label_evidence
【倒计时】第五天,愤怒,8,weak_label_evidence
咂锍等タ垂?,喜悦,6,weak_label_evidence
真想快点结束。,愤怒,7,weak_label_evidence
我想要回家吃饭！,厌恶,8,weak_label_evidence
南非进球了！,喜悦,6,weak_label_evidence
一个外星人求关注,低落,8,weak_label_evidence
一树山楂压海棠。,喜悦,8,weak_label_evidence
远观洪峰。,厌恶,5,weak_label_evidence
平复ING……,喜悦,7,weak_label_evidence
“讨债帝”,喜悦,5,weak_label_evidence
宿醉,厌恶,2,weak_label_evidence
在哪？在晚會現場,厌恶,8,weak_label_evidence
郁闷郁闷郁闷,厌恶,6,weak_label_evidence
有咩？把爱当全部,厌恶,8,weak_label_evidence
主啊！带我走吧！,愤怒,8,weak_label_evidence
帅哥也给偶签张叭,喜悦,8,weak_label_evidence
真的假的？！！！,厌恶,8,weak_label_evidence
想把你拐走,喜悦,5,weak_label_evidence
拍写真，苦不堪言,喜悦,8,weak_label_evidence
都是一群什么人！,愤怒,8,weak_label_evidence
颁奖典礼中场休息,喜悦,8,weak_label_evidence
巧合的情侣装？？,喜悦,8,weak_label_evidence
相公淡定。,喜悦,5,weak_label_evidence
作業作業啊,厌恶,5,weak_label_evidence
很愛這張圖,喜悦,5,weak_label_evidence
祝我生日快樂,喜悦,6,weak_label_evidence
QQ空间神经了,低落,7,weak_label_evidence
